record,code_region,Region,Annee,code_indicateur,Indicateur,code_type_uai,type_administration,code_sexe,Sexe,code_type_pers,type_personnel,etat_donnees,Valeur
3247,43,Franche-Comte,2003,pers,Effectifs de R&D,2,EPST,1,Hommes,2,Soutien a la recherche,definitif,37.8
3248,43,Franche-Comte,2003,pers,Effectifs de R&D,4,Autres administrations,3,Non ventile,1,Chercheurs,definitif,13.06
3249,43,Franche-Comte,2004,dird,Depense interieure de R&D,2,EPST,,,,,definitif,8.13
3250,43,Franche-Comte,2004,pers,Effectifs de R&D,3,EPIC et assimiles,3,Non ventile,2,Soutien a la recherche,definitif,0.95
3251,43,Franche-Comte,2005,pers,Effectifs de R&D,2,EPST,2,Femmes,1,Chercheurs,definitif,20.49
3252,43,Franche-Comte,2005,pers,Effectifs de R&D,2,EPST,2,Femmes,2,Soutien a la recherche,definitif,39.8
3253,43,Franche-Comte,2006,pers,Effectifs de R&D,2,EPST,1,Hommes,1,Chercheurs,definitif,91.47
3254,43,Franche-Comte,2006,pers,Effectifs de R&D,2,EPST,2,Femmes,2,Soutien a la recherche,definitif,45.2
3255,43,Franche-Comte,2006,pers,Effectifs de R&D,3,EPIC et assimiles,3,Non ventile,1,Chercheurs,definitif,2.0
3256,43,Franche-Comte,2006,pers,Effectifs de R&D,3,EPIC et assimiles,3,Non ventile,2,Soutien a la recherche,definitif,0.95
3257,43,Franche-Comte,2007,dird,Depense interieure de R&D,1,Enseignement superieur,,,,,definitif,67.0
3258,43,Franche-Comte,2007,dird,Depense interieure de R&D,3,EPIC et assimiles,,,,,definitif,0.54
3259,43,Franche-Comte,2007,pers,Effectifs de R&D,2,EPST,2,Femmes,2,Soutien a la recherche,definitif,46.2
3260,43,Franche-Comte,2008,pers,Effectifs de R&D,1,Enseignement superieur,2,Femmes,1,Chercheurs,definitif,37.0
3261,43,Franche-Comte,2008,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,1,Chercheurs,definitif,5.0
3262,43,Franche-Comte,2009,dird,Depense interieure de R&D,2,EPST,,,,,definitif,10.46
3263,43,Franche-Comte,2009,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,2,Soutien a la recherche,definitif,306.3
3264,43,Franche-Comte,2009,pers,Effectifs de R&D,2,EPST,2,Femmes,2,Soutien a la recherche,definitif,46.6
3265,43,Franche-Comte,2010,dird,Depense interieure de R&D,2,EPST,,,,,definitif,16.45
3266,43,Franche-Comte,2011,dird,Depense interieure de R&D,2,EPST,,,,,definitif,16.34
3267,43,Franche-Comte,2011,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,1,Chercheurs,definitif,806.45
3268,43,Franche-Comte,2011,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,2,Soutien a la recherche,definitif,328.25
3269,43,Franche-Comte,2011,pers,Effectifs de R&D,2,EPST,2,Femmes,1,Chercheurs,definitif,27.0
3270,43,Franche-Comte,2011,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,1,Chercheurs,definitif,1.0
3271,43,Franche-Comte,2013,pers,Effectifs de R&D,2,EPST,1,Hommes,2,Soutien a la recherche,semi-definitif,47.57
3272,43,Franche-Comte,2013,pers,Effectifs de R&D,2,EPST,2,Femmes,2,Soutien a la recherche,semi-definitif,40.12
3273,43,Franche-Comte,2013,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,1,Chercheurs,semi-definitif,3.4
3274,52,Pays de la Loire,2001,pers,Effectifs de R&D,2,EPST,1,Hommes,1,Chercheurs,definitif,357.9
3275,52,Pays de la Loire,2001,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,1,Chercheurs,definitif,159.5
3276,52,Pays de la Loire,2001,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,1,Chercheurs,definitif,62.33
3277,52,Pays de la Loire,2001,pers,Effectifs de R&D,3,EPIC et assimiles,3,Non ventile,2,Soutien a la recherche,definitif,2.5
3278,52,Pays de la Loire,2001,pers,Effectifs de R&D,4,Autres administrations,3,Non ventile,2,Soutien a la recherche,definitif,30.8
3279,52,Pays de la Loire,2002,dird,Depense interieure de R&D,4,Autres administrations,,,,,definitif,3.81
3280,52,Pays de la Loire,2002,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,1,Chercheurs,definitif,1803.62
3281,52,Pays de la Loire,2002,pers,Effectifs de R&D,2,EPST,1,Hommes,1,Chercheurs,definitif,354.7
3282,52,Pays de la Loire,2002,pers,Effectifs de R&D,2,EPST,1,Hommes,2,Soutien a la recherche,definitif,288.4
3283,52,Pays de la Loire,2002,pers,Effectifs de R&D,2,EPST,2,Femmes,1,Chercheurs,definitif,148.2
3284,52,Pays de la Loire,2002,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,1,Chercheurs,definitif,135.0
3285,52,Pays de la Loire,2002,pers,Effectifs de R&D,3,EPIC et assimiles,3,Non ventile,1,Chercheurs,definitif,2.0
3286,52,Pays de la Loire,2002,pers,Effectifs de R&D,3,EPIC et assimiles,3,Non ventile,2,Soutien a la recherche,definitif,1.39
3287,52,Pays de la Loire,2003,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,1,Chercheurs,definitif,1759.63
3288,52,Pays de la Loire,2003,pers,Effectifs de R&D,2,EPST,1,Hommes,1,Chercheurs,definitif,357.3
3289,52,Pays de la Loire,2003,pers,Effectifs de R&D,2,EPST,2,Femmes,1,Chercheurs,definitif,160.3
3290,52,Pays de la Loire,2003,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,1,Chercheurs,definitif,130.0
3291,52,Pays de la Loire,2003,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,1,Chercheurs,definitif,64.87
3292,52,Pays de la Loire,2003,pers,Effectifs de R&D,3,EPIC et assimiles,3,Non ventile,2,Soutien a la recherche,definitif,0.95
3293,52,Pays de la Loire,2003,pers,Effectifs de R&D,4,Autres administrations,1,Hommes,1,Chercheurs,definitif,3.9
3294,52,Pays de la Loire,2004,dird,Depense interieure de R&D,1,Enseignement superieur,,,,,definitif,170.96
3295,52,Pays de la Loire,2004,dird,Depense interieure de R&D,3,EPIC et assimiles,,,,,definitif,36.81
3296,52,Pays de la Loire,2005,pers,Effectifs de R&D,1,Enseignement superieur,1,Hommes,2,Soutien a la recherche,definitif,4.0
3297,52,Pays de la Loire,2005,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,1,Chercheurs,definitif,69.03
3298,52,Pays de la Loire,2005,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,1,Chercheurs,definitif,2.0
3299,52,Pays de la Loire,2006,pers,Effectifs de R&D,1,Enseignement superieur,1,Hommes,2,Soutien a la recherche,definitif,4.0
3300,52,Pays de la Loire,2006,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,1,Chercheurs,definitif,62.2
3301,53,Bretagne,2005,pers,Effectifs de R&D,3,EPIC et assimiles,3,Non ventile,1,Chercheurs,definitif,3.0
3302,53,Bretagne,2005,pers,Effectifs de R&D,4,Autres administrations,1,Hommes,2,Soutien a la recherche,definitif,37.2
3303,53,Bretagne,2006,dird,Depense interieure de R&D,3,EPIC et assimiles,,,,,definitif,104.74
3304,53,Bretagne,2006,pers,Effectifs de R&D,1,Enseignement superieur,1,Hommes,2,Soutien a la recherche,definitif,34.12
3305,53,Bretagne,2006,pers,Effectifs de R&D,1,Enseignement superieur,2,Femmes,2,Soutien a la recherche,definitif,32.7
3306,53,Bretagne,2006,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,2,Soutien a la recherche,definitif,855.3
3307,53,Bretagne,2006,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,2,Soutien a la recherche,definitif,263.8
3308,53,Bretagne,2006,pers,Effectifs de R&D,4,Autres administrations,3,Non ventile,2,Soutien a la recherche,definitif,14.12
3309,53,Bretagne,2007,dird,Depense interieure de R&D,1,Enseignement superieur,,,,,definitif,223.86
3310,53,Bretagne,2007,dird,Depense interieure de R&D,2,EPST,,,,,definitif,136.52
3311,53,Bretagne,2007,pers,Effectifs de R&D,1,Enseignement superieur,1,Hommes,2,Soutien a la recherche,definitif,26.44
3312,53,Bretagne,2007,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,1,Chercheurs,definitif,109.76
3313,53,Bretagne,2007,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,2,Soutien a la recherche,definitif,65.32
3314,53,Bretagne,2008,dird,Depense interieure de R&D,4,Autres administrations,,,,,definitif,16.48
3315,53,Bretagne,2008,pers,Effectifs de R&D,1,Enseignement superieur,2,Femmes,2,Soutien a la recherche,definitif,81.5
3316,53,Bretagne,2008,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,1,Chercheurs,definitif,1651.4
3317,53,Bretagne,2008,pers,Effectifs de R&D,2,EPST,2,Femmes,1,Chercheurs,definitif,329.57
3318,53,Bretagne,2008,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,1,Chercheurs,definitif,301.29
3319,53,Bretagne,2008,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,2,Soutien a la recherche,definitif,225.91
3320,53,Bretagne,2008,pers,Effectifs de R&D,3,EPIC et assimiles,3,Non ventile,1,Chercheurs,definitif,3.0
3321,53,Bretagne,2008,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,1,Chercheurs,definitif,35.25
3322,53,Bretagne,2009,pers,Effectifs de R&D,1,Enseignement superieur,1,Hommes,2,Soutien a la recherche,definitif,91.35
3323,53,Bretagne,2009,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,2,Soutien a la recherche,definitif,892.3
3324,53,Bretagne,2009,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,2,Soutien a la recherche,definitif,175.53
3325,53,Bretagne,2009,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,1,Chercheurs,definitif,37.15
3326,53,Bretagne,2009,pers,Effectifs de R&D,4,Autres administrations,3,Non ventile,1,Chercheurs,definitif,3.04
3327,53,Bretagne,2010,dird,Depense interieure de R&D,1,Enseignement superieur,,,,,definitif,296.22
3328,53,Bretagne,2010,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,1,Chercheurs,definitif,329.83
3329,53,Bretagne,2010,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,2,Soutien a la recherche,definitif,149.89
3330,53,Bretagne,2010,pers,Effectifs de R&D,4,Autres administrations,1,Hommes,2,Soutien a la recherche,definitif,8.39
3331,53,Bretagne,2011,pers,Effectifs de R&D,2,EPST,1,Hommes,2,Soutien a la recherche,definitif,599.78
3332,53,Bretagne,2011,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,1,Chercheurs,definitif,301.6
3333,53,Bretagne,2011,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,2,Soutien a la recherche,definitif,4.19
3334,53,Bretagne,2012,dird,Depense interieure de R&D,1,Enseignement superieur,,,,,definitif,310.97
3335,53,Bretagne,2012,pers,Effectifs de R&D,1,Enseignement superieur,2,Femmes,1,Chercheurs,definitif,81.01
3336,53,Bretagne,2012,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,2,Soutien a la recherche,definitif,947.71
3337,53,Bretagne,2012,pers,Effectifs de R&D,2,EPST,1,Hommes,1,Chercheurs,definitif,700.48
3338,53,Bretagne,2012,pers,Effectifs de R&D,2,EPST,1,Hommes,2,Soutien a la recherche,definitif,567.42
3339,53,Bretagne,2012,pers,Effectifs de R&D,2,EPST,2,Femmes,1,Chercheurs,definitif,319.06
3340,53,Bretagne,2012,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,1,Chercheurs,definitif,285.32
3341,53,Bretagne,2012,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,1,Chercheurs,definitif,142.5
3342,53,Bretagne,2012,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,1,Chercheurs,definitif,17.52
3343,53,Bretagne,2013,dird,Depense interieure de R&D,2,EPST,,,,,semi-definitif,240.64
3344,53,Bretagne,2013,dird,Depense interieure de R&D,3,EPIC et assimiles,,,,,semi-definitif,104.84
3345,53,Bretagne,2013,pers,Effectifs de R&D,1,Enseignement superieur,1,Hommes,1,Chercheurs,semi-definitif,164.5
3346,53,Bretagne,2013,pers,Effectifs de R&D,2,EPST,1,Hommes,2,Soutien a la recherche,semi-definitif,570.42
3347,53,Bretagne,2013,pers,Effectifs de R&D,2,EPST,2,Femmes,2,Soutien a la recherche,semi-definitif,610.64
3348,54,Poitou-Charentes,2001,dird,Depense interieure de R&D,1,Enseignement superieur,,,,,definitif,79.35
3349,54,Poitou-Charentes,2001,dird,Depense interieure de R&D,2,EPST,,,,,definitif,39.0
3350,54,Poitou-Charentes,2001,pers,Effectifs de R&D,2,EPST,1,Hommes,1,Chercheurs,definitif,194.8
3351,54,Poitou-Charentes,2001,pers,Effectifs de R&D,2,EPST,1,Hommes,2,Soutien a la recherche,definitif,228.7
3352,54,Poitou-Charentes,2001,pers,Effectifs de R&D,2,EPST,2,Femmes,1,Chercheurs,definitif,39.4
3353,54,Poitou-Charentes,2001,pers,Effectifs de R&D,4,Autres administrations,1,Hommes,2,Soutien a la recherche,definitif,5.0
3354,54,Poitou-Charentes,2001,pers,Effectifs de R&D,4,Autres administrations,3,Non ventile,1,Chercheurs,definitif,63.1
3355,54,Poitou-Charentes,2001,pers,Effectifs de R&D,4,Autres administrations,3,Non ventile,2,Soutien a la recherche,definitif,29.5
3356,54,Poitou-Charentes,2002,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,1,Chercheurs,definitif,876.51
3357,54,Poitou-Charentes,2002,pers,Effectifs de R&D,3,EPIC et assimiles,3,Non ventile,1,Chercheurs,definitif,2.0
3358,54,Poitou-Charentes,2002,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,2,Soutien a la recherche,definitif,11.3
3359,54,Poitou-Charentes,2002,pers,Effectifs de R&D,4,Autres administrations,3,Non ventile,1,Chercheurs,definitif,16.76
3360,54,Poitou-Charentes,2003,dird,Depense interieure de R&D,1,Enseignement superieur,,,,,definitif,89.31
3361,54,Poitou-Charentes,2003,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,1,Chercheurs,definitif,888.0
3362,54,Poitou-Charentes,2003,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,2,Soutien a la recherche,definitif,340.26
3363,54,Poitou-Charentes,2003,pers,Effectifs de R&D,2,EPST,2,Femmes,1,Chercheurs,definitif,43.0
3364,54,Poitou-Charentes,2003,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,2,Soutien a la recherche,definitif,22.63
3365,54,Poitou-Charentes,2003,pers,Effectifs de R&D,3,EPIC et assimiles,3,Non ventile,1,Chercheurs,definitif,2.0
3366,54,Poitou-Charentes,2004,dird,Depense interieure de R&D,1,Enseignement superieur,,,,,definitif,85.88
3367,54,Poitou-Charentes,2004,pers,Effectifs de R&D,3,EPIC et assimiles,3,Non ventile,1,Chercheurs,definitif,2.0
3368,54,Poitou-Charentes,2004,pers,Effectifs de R&D,4,Autres administrations,1,Hommes,2,Soutien a la recherche,definitif,5.0
3369,54,Poitou-Charentes,2004,pers,Effectifs de R&D,4,Autres administrations,3,Non ventile,1,Chercheurs,definitif,16.76
3370,54,Poitou-Charentes,2005,dird,Depense interieure de R&D,2,EPST,,,,,definitif,40.1
3371,54,Poitou-Charentes,2005,dird,Depense interieure de R&D,3,EPIC et assimiles,,,,,definitif,7.12
3372,54,Poitou-Charentes,2005,pers,Effectifs de R&D,2,EPST,2,Femmes,1,Chercheurs,definitif,43.6
3373,54,Poitou-Charentes,2005,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,1,Chercheurs,definitif,14.0
3374,54,Poitou-Charentes,2006,dird,Depense interieure de R&D,2,EPST,,,,,definitif,38.18
3375,54,Poitou-Charentes,2006,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,1,Chercheurs,definitif,15.6
3376,54,Poitou-Charentes,2006,pers,Effectifs de R&D,4,Autres administrations,3,Non ventile,1,Chercheurs,definitif,15.47
3377,54,Poitou-Charentes,2007,dird,Depense interieure de R&D,1,Enseignement superieur,,,,,definitif,90.83
3378,54,Poitou-Charentes,2007,dird,Depense interieure de R&D,4,Autres administrations,,,,,definitif,1.54
3379,54,Poitou-Charentes,2007,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,1,Chercheurs,definitif,736.2
3380,54,Poitou-Charentes,2007,pers,Effectifs de R&D,2,EPST,1,Hommes,1,Chercheurs,definitif,186.3
3381,54,Poitou-Charentes,2007,pers,Effectifs de R&D,4,Autres administrations,1,Hommes,2,Soutien a la recherche,definitif,8.47
3382,54,Poitou-Charentes,2007,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,1,Chercheurs,definitif,4.0
3383,54,Poitou-Charentes,2008,dird,Depense interieure de R&D,3,EPIC et assimiles,,,,,definitif,1.76
3384,54,Poitou-Charentes,2008,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,2,Soutien a la recherche,definitif,377.2
3385,54,Poitou-Charentes,2008,pers,Effectifs de R&D,2,EPST,2,Femmes,1,Chercheurs,definitif,64.4
3386,54,Poitou-Charentes,2008,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,2,Soutien a la recherche,definitif,26.57
3387,54,Poitou-Charentes,2008,pers,Effectifs de R&D,4,Autres administrations,3,Non ventile,1,Chercheurs,definitif,15.47
3388,54,Poitou-Charentes,2009,dird,Depense interieure de R&D,3,EPIC et assimiles,,,,,definitif,0.97
3389,54,Poitou-Charentes,2009,pers,Effectifs de R&D,2,EPST,1,Hommes,1,Chercheurs,definitif,198.7
3390,54,Poitou-Charentes,2009,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,2,Soutien a la recherche,definitif,3.0
3391,54,Poitou-Charentes,2010,dird,Depense interieure de R&D,2,EPST,,,,,definitif,48.08
3392,54,Poitou-Charentes,2010,pers,Effectifs de R&D,2,EPST,1,Hommes,1,Chercheurs,definitif,198.7
3393,54,Poitou-Charentes,2012,dird,Depense interieure de R&D,2,EPST,,,,,definitif,55.49
3394,54,Poitou-Charentes,2012,pers,Effectifs de R&D,2,EPST,1,Hommes,2,Soutien a la recherche,definitif,211.78
3395,54,Poitou-Charentes,2012,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,1,Chercheurs,definitif,27.05
3396,54,Poitou-Charentes,2013,dird,Depense interieure de R&D,1,Enseignement superieur,,,,,semi-definitif,124.77
3397,54,Poitou-Charentes,2013,dird,Depense interieure de R&D,3,EPIC et assimiles,,,,,semi-definitif,0.83
3398,54,Poitou-Charentes,2013,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,1,Chercheurs,semi-definitif,1048.18
3399,54,Poitou-Charentes,2013,pers,Effectifs de R&D,2,EPST,2,Femmes,1,Chercheurs,semi-definitif,64.45
3400,54,Poitou-Charentes,2013,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,1,Chercheurs,semi-definitif,23.71
3401,43,Franche-Comte,2007,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,1,Chercheurs,definitif,571.5
3402,43,Franche-Comte,2007,pers,Effectifs de R&D,2,EPST,1,Hommes,2,Soutien a la recherche,definitif,42.49
3403,43,Franche-Comte,2007,pers,Effectifs de R&D,3,EPIC et assimiles,3,Non ventile,2,Soutien a la recherche,definitif,0.95
3404,43,Franche-Comte,2008,dird,Depense interieure de R&D,1,Enseignement superieur,,,,,definitif,84.57
3405,43,Franche-Comte,2008,dird,Depense interieure de R&D,3,EPIC et assimiles,,,,,definitif,0.59
3406,43,Franche-Comte,2008,dird,Depense interieure de R&D,4,Autres administrations,,,,,definitif,1.11
3407,43,Franche-Comte,2008,pers,Effectifs de R&D,3,EPIC et assimiles,3,Non ventile,1,Chercheurs,definitif,2.0
3408,43,Franche-Comte,2008,pers,Effectifs de R&D,4,Autres administrations,1,Hommes,2,Soutien a la recherche,definitif,7.79
3409,43,Franche-Comte,2009,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,1,Chercheurs,definitif,696.3
3410,43,Franche-Comte,2009,pers,Effectifs de R&D,2,EPST,1,Hommes,2,Soutien a la recherche,definitif,42.0
3411,43,Franche-Comte,2009,pers,Effectifs de R&D,2,EPST,2,Femmes,1,Chercheurs,definitif,21.0
3412,43,Franche-Comte,2011,pers,Effectifs de R&D,2,EPST,1,Hommes,2,Soutien a la recherche,definitif,51.13
3413,43,Franche-Comte,2011,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,1,Chercheurs,definitif,2.4
3414,43,Franche-Comte,2012,pers,Effectifs de R&D,2,EPST,1,Hommes,2,Soutien a la recherche,definitif,47.0
3415,43,Franche-Comte,2012,pers,Effectifs de R&D,2,EPST,2,Femmes,2,Soutien a la recherche,definitif,41.01
3416,43,Franche-Comte,2012,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,1,Chercheurs,definitif,3.4
3417,43,Franche-Comte,2013,dird,Depense interieure de R&D,1,Enseignement superieur,,,,,semi-definitif,97.15
3418,43,Franche-Comte,2013,dird,Depense interieure de R&D,2,EPST,,,,,semi-definitif,21.77
3419,43,Franche-Comte,2013,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,2,Soutien a la recherche,semi-definitif,342.89
3420,43,Franche-Comte,2013,pers,Effectifs de R&D,2,EPST,1,Hommes,1,Chercheurs,semi-definitif,82.1
3421,43,Franche-Comte,2013,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,1,Chercheurs,semi-definitif,1.0
3422,52,Pays de la Loire,2001,dird,Depense interieure de R&D,1,Enseignement superieur,,,,,definitif,150.47
3423,52,Pays de la Loire,2001,dird,Depense interieure de R&D,2,EPST,,,,,definitif,52.18
3424,52,Pays de la Loire,2001,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,1,Chercheurs,definitif,1738.8
3425,52,Pays de la Loire,2001,pers,Effectifs de R&D,2,EPST,2,Femmes,1,Chercheurs,definitif,123.2
3426,52,Pays de la Loire,2001,pers,Effectifs de R&D,3,EPIC et assimiles,3,Non ventile,1,Chercheurs,definitif,2.2
3427,52,Pays de la Loire,2001,pers,Effectifs de R&D,4,Autres administrations,1,Hommes,1,Chercheurs,definitif,3.0
3428,52,Pays de la Loire,2001,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,1,Chercheurs,definitif,2.0
3429,52,Pays de la Loire,2001,pers,Effectifs de R&D,4,Autres administrations,3,Non ventile,1,Chercheurs,definitif,38.1
3430,52,Pays de la Loire,2002,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,2,Soutien a la recherche,definitif,12.1
3431,52,Pays de la Loire,2002,pers,Effectifs de R&D,4,Autres administrations,3,Non ventile,1,Chercheurs,definitif,38.24
3432,52,Pays de la Loire,2002,pers,Effectifs de R&D,4,Autres administrations,3,Non ventile,2,Soutien a la recherche,definitif,36.32
3433,52,Pays de la Loire,2003,dird,Depense interieure de R&D,1,Enseignement superieur,,,,,definitif,171.25
3434,52,Pays de la Loire,2003,dird,Depense interieure de R&D,4,Autres administrations,,,,,definitif,3.79
3435,52,Pays de la Loire,2003,pers,Effectifs de R&D,4,Autres administrations,1,Hommes,2,Soutien a la recherche,definitif,12.7
3436,52,Pays de la Loire,2003,pers,Effectifs de R&D,4,Autres administrations,3,Non ventile,1,Chercheurs,definitif,37.31
3437,52,Pays de la Loire,2004,dird,Depense interieure de R&D,4,Autres administrations,,,,,definitif,3.73
3438,52,Pays de la Loire,2004,pers,Effectifs de R&D,2,EPST,1,Hommes,1,Chercheurs,definitif,378.41
3439,52,Pays de la Loire,2004,pers,Effectifs de R&D,2,EPST,1,Hommes,2,Soutien a la recherche,definitif,294.81
3440,52,Pays de la Loire,2004,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,2,Soutien a la recherche,definitif,60.75
3441,52,Pays de la Loire,2004,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,1,Chercheurs,definitif,67.93
3442,52,Pays de la Loire,2004,pers,Effectifs de R&D,4,Autres administrations,3,Non ventile,2,Soutien a la recherche,definitif,32.89
3443,52,Pays de la Loire,2005,pers,Effectifs de R&D,1,Enseignement superieur,1,Hommes,1,Chercheurs,definitif,17.0
3444,52,Pays de la Loire,2005,pers,Effectifs de R&D,1,Enseignement superieur,2,Femmes,2,Soutien a la recherche,definitif,3.8
3445,52,Pays de la Loire,2005,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,2,Soutien a la recherche,definitif,788.56
3446,52,Pays de la Loire,2005,pers,Effectifs de R&D,2,EPST,2,Femmes,1,Chercheurs,definitif,183.3
3447,52,Pays de la Loire,2005,pers,Effectifs de R&D,2,EPST,2,Femmes,2,Soutien a la recherche,definitif,349.87
3448,52,Pays de la Loire,2005,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,2,Soutien a la recherche,definitif,59.66
3449,52,Pays de la Loire,2005,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,2,Soutien a la recherche,definitif,12.3
3450,52,Pays de la Loire,2005,pers,Effectifs de R&D,4,Autres administrations,3,Non ventile,1,Chercheurs,definitif,37.31
3451,52,Pays de la Loire,2006,dird,Depense interieure de R&D,1,Enseignement superieur,,,,,definitif,172.83
3452,52,Pays de la Loire,2006,dird,Depense interieure de R&D,2,EPST,,,,,definitif,63.51
3453,52,Pays de la Loire,2006,pers,Effectifs de R&D,1,Enseignement superieur,1,Hommes,1,Chercheurs,definitif,207.0
3454,52,Pays de la Loire,2006,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,1,Chercheurs,definitif,1537.3
3455,52,Pays de la Loire,2006,pers,Effectifs de R&D,2,EPST,2,Femmes,2,Soutien a la recherche,definitif,361.0
3456,52,Pays de la Loire,2007,pers,Effectifs de R&D,2,EPST,1,Hommes,2,Soutien a la recherche,definitif,363.86
3457,52,Pays de la Loire,2007,pers,Effectifs de R&D,4,Autres administrations,1,Hommes,2,Soutien a la recherche,definitif,12.63
3458,52,Pays de la Loire,2007,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,1,Chercheurs,definitif,1.99
3459,52,Pays de la Loire,2008,pers,Effectifs de R&D,1,Enseignement superieur,1,Hommes,2,Soutien a la recherche,definitif,43.2
3460,52,Pays de la Loire,2008,pers,Effectifs de R&D,2,EPST,1,Hommes,1,Chercheurs,definitif,449.59
3461,52,Pays de la Loire,2008,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,1,Chercheurs,definitif,1.7
3462,52,Pays de la Loire,2009,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,2,Soutien a la recherche,definitif,889.2
3463,52,Pays de la Loire,2009,pers,Effectifs de R&D,2,EPST,2,Femmes,1,Chercheurs,definitif,243.38
3464,52,Pays de la Loire,2010,dird,Depense interieure de R&D,3,EPIC et assimiles,,,,,definitif,31.07
3465,52,Pays de la Loire,2010,pers,Effectifs de R&D,1,Enseignement superieur,1,Hommes,2,Soutien a la recherche,definitif,52.45
3466,52,Pays de la Loire,2011,pers,Effectifs de R&D,1,Enseignement superieur,1,Hommes,2,Soutien a la recherche,definitif,49.37
3467,52,Pays de la Loire,2011,pers,Effectifs de R&D,1,Enseignement superieur,2,Femmes,1,Chercheurs,definitif,95.33
3468,52,Pays de la Loire,2011,pers,Effectifs de R&D,2,EPST,2,Femmes,1,Chercheurs,definitif,238.06
3469,52,Pays de la Loire,2011,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,2,Soutien a la recherche,definitif,42.2
3470,52,Pays de la Loire,2011,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,2,Soutien a la recherche,definitif,75.45
